x-axis,1,2
second,Volt,Volt
-70.00000E-03,+1.71372483E+00,+80.55909E-03
-69.98177E-03,+35.33291E-03,+2.01523244E+00
-69.96354E-03,+2.64337306E+00,+2.77402636E+00
-69.94531E-03,+2.30668961E+00,+80.55911E-03
-69.92708E-03,+40.35806E-03,+1.34186564E+00
-69.90885E-03,+1.92980526E+00,+2.95493085E+00
-69.89063E-03,+2.88457900E+00,+638.34803E-03
-69.87240E-03,+186.08671E-03,+693.62450E-03
-69.85417E-03,+1.32176511E+00,+2.94488059E+00
-69.83594E-03,+2.87955387E+00,+1.29663941E+00
-69.81771E-03,+904.67960E-03,+80.55924E-03
-69.79948E-03,+603.17223E-03,+2.83432785E+00
-69.78125E-03,+2.88457900E+00,+1.97503130E+00
-69.76302E-03,+1.50769458E+00,+75.53412E-03
-69.74479E-03,+40.35823E-03,+2.19613699E+00
-69.72656E-03,+2.71372478E+00,+2.69864929E+00
-69.70833E-03,+2.22628744E+00,+80.55922E-03
-69.69010E-03,+40.35822E-03,+1.50266977E+00
-69.67188E-03,+2.09060933E+00,+2.95493067E+00
-69.65365E-03,+2.88457879E+00,+562.97117E-03
-69.63542E-03,+105.68480E-03,+779.05179E-03
-69.61719E-03,+1.39211698E+00,+2.94488045E+00
-69.59896E-03,+2.87955370E+00,+1.16598607E+00
-69.58073E-03,+733.82534E-03,+80.55946E-03
-69.56250E-03,+678.54927E-03,+2.91975490E+00
-69.54427E-03,+2.88960401E+00,+1.89965429E+00
-69.52604E-03,+1.43231760E+00,+80.55942E-03
-69.50781E-03,+80.55945E-03,+2.31171489E+00
-69.48958E-03,+2.87955385E+00,+2.60819685E+00
-69.47135E-03,+2.14086016E+00,+75.53421E-03
-69.45313E-03,+40.35839E-03,+1.58809699E+00
-69.43490E-03,+2.20116213E+00,+2.95493046E+00
-69.41667E-03,+2.86950320E+00,+372.01646E-03
-69.39844E-03,+45.38341E-03,+869.50419E-03
-69.38021E-03,+1.47251908E+00,+2.94488030E+00
-69.36198E-03,+2.87955352E+00,+1.08558404E+00
-69.34375E-03,+618.24749E-03,+261.46416E-03
-69.32552E-03,+784.07705E-03,+2.94990555E+00
-69.30729E-03,+2.88960388E+00,+1.82427728E+00
-69.28906E-03,+1.34186528E+00,+80.55961E-03
-69.27083E-03,+155.93653E-03,+2.40719223E+00
-69.25260E-03,+2.87955377E+00,+2.41724193E+00
-69.23438E-03,+2.01523190E+00,+75.53435E-03
-69.21615E-03,+40.35857E-03,+1.67854933E+00
-69.19792E-03,+2.29161437E+00,+2.95493024E+00
